# MicroProse .dck numeric card IDs, harvested from an original
# game copy's deck files by tools/deck_convert. name|id
Wall of Wood|275
Wanderlust|276
War Mammoth|277
Warp Artifact|278
Water Elemental|279
Weakness|280
Web|281
Wheel of Fortune|282
Whimsy|864
Whirling Dervish|851
White Knight|283
White Mana Battery|852
White Ward|284
Wild Growth|285
Will-O'-The-Wisp|286
Will-O-The-Wisp|286
Winds of Change|854
Winter Blast|855
Winter Orb|287
Wooden Sphere|288
Word of Binding|388
Wrath of God|290
Xenic Poltergeist|547
Yotian Soldiers|550
Zephyr Falcon|859
Zephyr Falcons|859
Zombie Master|291
